,title,date,desc,content
0,"Ukraine is asking for dogecoin donations, preferring the joke coin over less valuable rubles",2022-03-02T18:00:35Z,"Dogecoin is now worth more than rubles, according to Ukraine's Vice Prime Minister Mykhailo Fedorov, who announced today that Ukraine is accepting donations of the memecoin to help fight against Russia.



""Now even meme can support our army and save lives fr…","Dogecoin is now worth more than rubles, according to Ukraine's Vice Prime Minister Mykhailo Fedorov, who announced today that Ukraine is accepting donations of the memecoin to help fight against Russ… [+1979 chars]"
1,"Elon Musk advises owning 'physical things' like homes and stocks when inflation is high – but says he won't sell his bitcoin, ether, and dogecoin",2022-03-14T07:10:29Z,"Tesla and SpaceX CEO Musk, the world's richest person, was discussing runaway inflation, and what to do about it, on Twitter on Monday.","Elon Musk advised Monday that it's better to own ""physical things"" like homes and stocks but added that he won't sell his bitcoin, ether, and dogecoin holdings.
Musk, CEO of Tesla and SpaceX, and th… [+1873 chars]"
2,"Elon Musk advises owning 'physical things' like homes and stocks when inflation is high – but says he won't sell his bitcoin, ether, and dogecoin",2022-03-14T07:10:29Z,"Tesla and SpaceX CEO Musk, the world's richest person, was discussing runaway inflation, and what to do about it, on Twitter on Monday.","Elon Musk advised Monday that it's better to own ""physical things"" like homes and stocks but added that he won't sell his bitcoin, ether, and dogecoin holdings.
Musk, CEO of Tesla and SpaceX, and th… [+1873 chars]"
3,Crypto Users Answer Ukraine's Call for Help By Donating Millions,2022-03-03T16:38:45Z,"However, some crypto platforms are refusing to act on all of Ukraine's requests.","As the international community rallies around Ukraine amid Russia's invasion, cryptocurrency users are also chipping in. According to blockchain-analysis firm Elliptic, nearly $55 million in cryptoas… [+2478 chars]"
4,EU checking if cryptoassets being used to bust Russian sanctions - EU official - Reuters,2022-03-02T11:43:00Z,"The European Commission is studying whether cryptoassets are being used to get round financial sanctions imposed on Russian banks following the country's invasion of Ukraine, a senior European Union official said on Wednesday.","Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, and Litecoin are seen in front of a displayed Binance logo in this illustration taken, June 28, 2021. REUTERS/Dado Ruvic/Illus… [+1327 chars]"
5,Watchdog bans London tube Floki Inu cryptocurrency ad campaign,2022-03-02T00:01:24Z,"Advertisements named after Elon Musk’s dog allegedly took advantage of consumers’ naivetyThe UK advertising watchdog has banned a London underground campaign for Floki Inu, a cryptocurrency named after a dog owned by Tesla chief Elon Musk, for allegedly takin…","The UK advertising watchdog has banned a London underground campaign for Floki Inu, a cryptocurrency named after a dog owned by Tesla chief Elon Musk, for allegedly taking advantage of naive consumer… [+2792 chars]"
6,These were the 5 worst performing cryptos over the past week amid the bitcoin bear market,2022-03-11T15:23:41Z,"With more than 18,000 cryptocurrencies in existence and counting, there are more than triple the number of crypto coins than there are US stocks.","Bitcoin's bear market has sucked the life out of many popular cryptocurrencies, with the total crypto market capitalization falling from $3 trillion to less than $2 trillion today. But less liquid al… [+1768 chars]"
7,Elon Musk Seeks to Terminate Tweet-Fueled Fraud Settlement With SEC,2022-03-10T16:41:00Z,"""The SEC's pursuit of Mr. Musk has crossed the line into harassment, which is quintessential bad faith,"" his lawyers wrote.","On Tuesday, Tesla CEO Elon Musk asked a federal judge to terminate his 2018 settlement with the Securities and Exchange Commission (SEC), Reuters reports.
In August of 2018, the SEC sued Musk after … [+1687 chars]"
8,"Elon Musk Offers Advice on Inflation, Says He Won't Be Selling Crypto: 'It Is Generally Better to Own Physical Things'",2022-03-14T17:25:30Z,The Tesla CEO took to Twitter to offer advice amid the ongoing inflation rates.,"Inflation rates have expectedly begun to soar upon ongoing conflict between Russia and Ukraine.
Bloomberg | Getty Images
From surge pricing to offset rising fuel costs for rideshare companies like … [+1995 chars]"
9,Why Is Dogecoin Switching to Proof of Stake?,2022-03-25T16:00:14Z,"For a memecoin, Dogecoin has enjoyed a pretty decent level of success. It's switching to PoS, but why?","May 2021, Alex Mashinsky of Celsius Network—a lending protocol—speculated that Dogecoin (DOGE) will transition to proof-of-stake (PoS) within two years to make it more appealing. Fast-forward to last… [+5276 chars]"
10,What Is Shiba Inu & Is It Like Dogecoin?,2022-03-12T15:30:13Z,"Shiba Inu is relatively new versus Dogecoin, but many refer to the same in the same breath. So, what's the difference?","While many coins within the crypto world are created in a serious light, some have a more jovial background. These are known as meme coins, and two of the most well-known examples are Dogecoin and Sh… [+4860 chars]"
11,Billionaire Mark Cuban takes a swipe at Elon Musk's question about what inflation could look like in the coming years,2022-03-15T15:09:30Z,"Musk canvassed his followers in a tweet Sunday, asking what they think the inflation rate could be in the next few years.","Mark Cuban has taken a swipe at Elon Musk's question about the likely inflation rate in the coming years, saying it's ""ridiculous"" to go by just one figure, because not all asset categories behave th… [+2739 chars]"
12,AMC Entertainment buys 22% stake in a Nevada gold mine to diversify away from movie theater business,2022-03-15T13:15:07Z,"""In 2021, our retail shareholders armed us with a $1.8 billion war chest to play on offense and grow our company,"" AMC CEO Adam Aron said.","AMC Entertainment is using the cash it raised during last year's meme-stock craze to buy a stake in a junior gold and silver miner based in Nevada.
The movie theater chain will acquire a 22% stake i… [+2629 chars]"
13,Can Dogecoin Reach $1?,2022-03-26T12:15:00Z,The ongoing downward spiral for this meme token will most likely continue.,"The past few months haven't been the best for cryptocurrencies, as the market value of the asset class has dropped by roughly a third since November and now sits at about $2 trillion. Investors are t… [+3203 chars]"
14,‘The casino beckons’: my journey inside the cryptosphere,2022-03-22T06:00:47Z,"Not all cryptocurrency investors fit the cliches. Many are people looking to somehow claw their way out of a life of constant struggleI can’t explain exactly how I ended up on crypto Twitter (or CT, as it’s known in the cryptosphere) and in the crypto-focused…","I cant explain exactly how I ended up on crypto Twitter (or CT, as its known in the cryptosphere) and in the crypto-focused Telegram and Discord groups I started lurking in late last summer. As a wri… [+26111 chars]"
15,2 Crashing Cryptocurrencies to Sell Right Now,2022-03-18T13:30:00Z,Dogecoin and Floki Inu may have a grim future.,"Investing in cryptocurrency can be an excellent way for investors to build wealth and bet against inflation. But all tokens aren't created equal. Let's explore why two meme coins, Dogecoin ( DOGE -1.… [+2895 chars]"
16,10 Places Where You Can Spend Shiba Inu,2022-03-23T17:15:15Z,"Not sure how to spend all the Shiba Inu funds in your crypto portfolio? Here, we'll look at multiple places that accept SHIB payments.","Who would have ever thought that jovial meme coins would one day be used to pay for goods and services? Well, this is now the case with Shiba Inu, a token built on the Ethereum blockchain.
You can n… [+6405 chars]"
17,"Why Bitcoin, Ethereum, and Dogecoin Dropped Today",2022-03-10T19:56:03Z,Cryptocurrencies are giving back yesterday's gains.,"What happened 
The value of major cryptocurrencies fell on Thursday as the stock market dropped and investors worried about inflation and the continuing Russian invasion of Ukraine. This follows a d… [+2592 chars]"
18,Why Dogecoin Was Up by 4% Today,2022-03-23T22:53:59Z,The meme cryptocurrency is now available at a specialty ATM near you... maybe.,"What happened
The bellwether meme cryptocurrency Dogecoin( DOGE 5.58% ) was on the rise Wednesday, in contrast to the sagging S&amp;P 500 index of stocks. The coin was enjoying a 4% lift as of late … [+1474 chars]"
19,Internal Twitter Data Reveals How Many People Are Tweeting About Crypto,2022-03-04T09:25:09Z,"Twitter has become the primary platform for crypto discussion on the internet, and internal data from the company reveals just how many people are joining the conversation.There have been over 1 billion tweets about crypto since 2020, with 299 million of them…","Twitter has become the primary platform for crypto discussion on the internet, and internal data from the company reveals just how many people are joining the conversation.
There have been over 1 bi… [+3144 chars]"
